Abattoir Name,RC Nr,Province,Status,ZA Nr,Expiry Date of ZA,Transformation/ Government,Price Information,SETA,Tel. 1,Tel. 2,FAX,VAT Number,Distance from Headoffice,Postal Address,City,Postal Code,Municipality,Physical Address, GPS Coordinates (DMS), GPS Coordinates (DMS) 2,Owner,Owner email,Owner Cell,Manager,Manager email,Manager Cell,Training,Training email,Training Cell,Accounts,Account email,Accounts Cell,Emails,Meat Inspection Services (Assignee Name),Assignee Contact Name,Assignee Contact Number,Meat Inspectors,Meat Examiner,QA Manager/s or HMS Contact,Floor Supervisor,Technical Manager,Contact Number,Email,Quality Control & Hygiene Manager,Cell Number,Email Control & Hygiene Manager,L/H,G,Units,Amount Slaughtered,CATTLE,CALVES,SHEEP,PIG,GOAT,GAME,CROCODILES,HORSES,Kosher,Halaal,Classification (C/NC),Grader,Deboning Plant,Processing Plant,Rendering Plant,Residue,2018 Member,2019 Member,2020 Members,2021 Members,2022 Members,2023 Members,2024 Members,2025 Members,2026 Members,Other Comments,Modified By,Modified,Modified Fields,Old Values,New Values,Can Mail Be sent to Client?,Date Mail Sent,Verification,DB UPDATED,Latest Update Received,Data Base Comment 
Bacon & Beef Abattoir / check details/ reg number,06/047,Eastern Cape,Active,,,?,,,042 285 0581,,042 285 0581,,1232.6,P O Box X 94,Kareedouw,"6,400",,,,,Herculus van Huysteen,,,James  JA Anderson,,,,,,,,,,,,,,,,,,,,,,,LT,E,5,,x,x,x,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,24-Feb-26,Pending Review,,,
Bandelierskop,02/011,Limpopo,Active,,,?,,,073 200 5829,,015 516 1067,,340,P O Box 5,Bandelierkop,800,,Farm Waagkraal 372 Bandelierkop,,,Tanya Richter,tanya@njrb.co.za,073 200 5829,Nick Richter,,074 164 9460,,,,,,,,,,,,,,,,,,,,,LT,E,5,,x,,x,,,,,,No,No ,,,,,,,No,,,,,,,,,Update email and manager details 2022.05.27,,,,,,No,,Pending Review,2025.10.27,2025.12.15,"Tanja confirmed the addrss
SL updated classifying and beef with SAMIC info"
Baphiring Butchery & Abattoir,03/028,North West,Closed,,,,,,,,,,351.5,P O Box 1193,,,,,,,Kate SK Tshukudu,,073 157 2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Barbeque Brits Abattoir,06/110,Eastern Cape,Active,,,?,,,045 932 1622,,,,911.1,P O Box 499,Maclear,"5,480",,,,,Piet  Brits,pietbrits@gmail.com,083 326 9727,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,x,x,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,24-Feb-26,Pending Review,,,
Barberton Abattoir  (Barnel Investment),08/010,Mpumalanga,Active,,,No,,AgriSETA,084 300 7204,082 804 3386,086 531 9341,4940121744,333.8,P O Box 323,Barberton,"1,300",Emjindini,"6 General Street X112, Barberton Industrial in General Street going into Berberton from Nelspruit, take only gravel road to left hand side. Travel straight until abattoir ",,,Gerrit vd Merwe (Barnel Investments),gerrit@a1.co.za,084 300 7204,Eddie Viljoen,eddie@barnelinvest.co.za,082 804 3386,Liezel Viljoen,,082 766 9609,Lynette van der Merwe ,crown@bjgroep.co.za,013 712 2173,haakbessie@mweb.co.za; sharlene@barnelinvest.co.za,,,,,,,,,,,,,,HT,A,150,,x,x,x,x,,,,,No,No ,,,,,,x,Members,Members,,,Members,Members,Members,Members,,,,,,,,No,,Pending Review,26.05.2025,2025.12.15,"Units updated, details from the certificate
SL updated classifying with SAMIC info"
Barberton Correctional Services,08/039,Mpumalanga,Active,,,Government,,,013 712 9555,,013 712 2994,,334.7,Private Bag X 611,Barberton,"1,300",,,"31°02'28""E ","25°47'41""S",Mr. K Ekkard,christo.pieterse@dcs.gov.za,084 972 6610,J J van Rensburg,,073 434 9254,,,,,,,,,,,,,,,,,,,,,LT,E,10,,x,,,x,,,,,No,No,,,,,,,No,,Members,Members,,,,,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Barkley - East Abattoir,06/006,Eastern Cape,Active,,,?,,,045 971 0292,,045 971 0292,,779.2,P O Box 255,Bakley - East,"5,580",," 1 De Villiers St, Barkly East, Eastern Cape, 9786.",,,PF Boshof,,,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,x,x,x,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Bartelfontein Abattoir,07/053,Western Cape,Active,,,?,,,044 693 2797,,044 693 3127,,1267.1,P O Box 221,Mosselbaai,"6,500",,,,,Janice Nortje,janicenortje@gmail.com,083 290 0014,Susan Muller,,079 860 3453,,,,,,,,,,,,,,,,,,,,,LT,D,20,,x,x,x,x,,,,,No,No,,,,,,,Members,Members,Members,Members,,,,,,,,,,,,No,,Pending Review,,,
Bathlaros Abattoir,03/027,North West,Closed,,,,,,053 774 1095,,,,351.5,P O Box 453,,,,,,,Judith J Morubisi,,076 191 3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Batt's Store Abattoir,07/073,Western Cape,Closed,,,,,,023 614 2115,,,,1175.8,P O Box 349,,,,,,,JT Augustyn,,082 553 2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Baviaanspoort Correctional Services Abattoir,01/013R,Gauteng,Active,,,Government,,,012 841 8575,012 841 8610,012 808 1506,,15.6,Private Bag X 01,"Lynn East, Pta",39,Tshwane,"Plot 330, Sefako Makgatho Drive Kameelfontein",,,Baviaanspoort Correctional Service (Gvt),jcdeklerk1@gmail.com,060 557 3644,JC De Klerk,,060 557 3644,Jacques De Klerk,,060 557 3644,Jonas Bopape,simon.matome@dcs.gov.za,079 466 9756,jonas.bopape@dcs.gov.za,FSA,Juanita,082 574 3732,,,,,,,,,,,LT,E,4,,x,,,x,,,,,No,No,NC,,,,,x,No,,,,,,,,,,,,,,,No,,Pending Review,,2022.07.12<br>2025.12.12,"Printed from report, updated by Patty
SL updated non classifying with info from SAMIC"
Baynesfield Factory (PTY) Ltd,05/020,KZN,Closed,,,Yes,,,033 251 0716,031 784 6000,,4580240895,573.3,P.O. Box 81,Baynesfield,"3,770",,,,,Paras Maharaj,parasm@bayfac.co.za,,,,,,,,,,,parasm@bayfac.co.za,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,x,No,,,,,,,,,,,,,,,No,,Pending Review,,,
BBB Abattoir,,Free State,Active,,,,,,082 413 5961,082 920 2643,,4720275033,192.5,,,,Ngwathe,No1 Laigmark Street Heilbron,,,JH Breitenbach,bbbabattoir@skysat.co.za/johan@skysat.co.za,082 920 2643,M Breitenbach,bbbabattoir@skysat.co.za,076 227 8086,,,,,,,,,,,,,,,,,,,,,HT,B,80,,x,,x,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,2024.08.14,New abattoir's details updated
BBB Abattoir /prev Texland,04/047,Free State,Active,,,?,,,076 227 8086,,,4720275033,22.2,P O Box 540,Olifantsfontein,"9,650",Ngwathe,No1 Langmark Street 9650,,,Johan Breiteubach,info@bbbabattoir.co.za,082 920 2643,Marinelle Breitenbach,info@bbbabattoir.co.za,076 227 8086,,,064 414 4307,Frank Alves,patrys@texlandmeat.co.za,072 569 0226,nellabreuteubach@gmail,,,,,,,,,,,,,,HT,A,80,,x,,x,,,,,,No ,No ,C,,,,,,No ,,,,,,,awaiting payment,,,,,,,,No,25-Feb-26,Pending Review,,2025.03.26<br>2025.12.15,"Units, owner&#39;s details, manager&#39;s details, vat number as well as phyisical address updated
SL updated classifying with SAMIC info"
Beaufort West Abattoir (Karoo Lam),07/058,Western Cape,Active,,,?,,AgriSETA,023 415 1771,,,,992.9,P O Box 1166,Beaufort West,"6,970",,Production 3 Industrial area Beaufort west 6970,,,Beaufort West Abattoir (Pty) Ltd - S Oberholtzer,karoolamb@beaufortwest.net,082 802 1161,Mr J Christie,,082 370 1830,Willem Eksteen,wpeksteen@wispernet.co.za,,John J Christie,johnchristie@isat.co.za,082 370 1830,,,,,,,,,,,,,,,HT,A,100,,,,x,,,,,,No,No ,,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Beefmaster Kimberly (Pty) Ltd ,09/032,Northern Cape,Active,ZA 150,12/6/2019,?,Yes,AgriSETA,053 841 0145,053 441 9100,053 841 0234,4040207526,544,P O Box 1358,Kimberley,"8,301",Sol-Plaatjie,"2-6 Carlstein Street, Kimdustria Northern Cape, RSA",,,Louw Van Reenen,lw@beefmaster.co.za,082 777 2257,G Blignaut,gert@beefmaster.co.za,082 553 1453,Dr Karin Engelbrecht,karin.e@beefmaster.co.za,079 382 3378,patricia.h@beefmaster.co.za,juanita@beefmaster.co.za,072 596 3123,helanie@beefmaster.co.za; theresa.vdw@beefmaster.co.za; vdw@beefmaster.co.za; juanita@beefmaster.co.za,,,,,,,,,,,,,,HT,A,800,,x,,x,,,,,,No,Yes,C,,,,Yes,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.12.15,"2022/05/27 no changes / contact persone Dr. Karin Engelbrecht - 053 441 9168 - karin.e@beefmaster.co.za
SL updated classifying with SAMIC info"
Beja Beef Abattoir,02/030,Limpopo,Closed,,,?,,,,,015 516 2968,,371.9,P O Box 611,Louis Trichardt,920,,,,,W Schwerdtfeger,,,Oosthuizen,,,,,,,,,,,,,,,,,,,,,,,RT,E,2,,x,,,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Belfast Abattoir,08/020,Mpumalanga,Active,,,No,,,013 253 1611,013 253 1615,013 253 0638,,196.1,P O Box 363,Belfast,"1,100",,Station st,"30°03'17""E ","25°42'18""S",Piet  EN kOOS Joubert,francis@belfastslagpale.co.za,083 303 5719,,,082 495 7358,Rassie Smit,,082 495 7358,Sonja van der Merwe,sonja@belfastslagpale.co.za,,,,,,,,,,,,,,,,HT,B,70,,x,,x,x,,,,,No,No,,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Benade Abattoir,03/009,North West,Active,,,,,,084 762 4763,071 303 2233,,,300.5,P O Box 146,Ngaka Modiri,"2,895",,Kookfontein Buhmannsdrif,,,Ina Benade,benade.ina@gmail.com,084 775 3903,Tjaart Benade,benade.ina@gmail.com,071 303 2233,,,,M Coetzee,maggiecoetzee21@gmail.com,064 901 3598,,,,,,,,,,,,,,,LT,D,20,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,2025.05.16,"Throughput, van number, owner's details as well as managers details updated"
Berg Abattoir (Bones),05/028,KZN,Active,,,No,,,036 448 1783,083 800 3011,036 448 1830,4490183011,400.4,P O Box 70,Bergville,"3,350",,,,,Pippa Blackburn,bergabattoir@gmail.com,082 800 3011,Norman Coetzee,,082 781 7759,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,x,x,x,,x,,,No,Yes,,,,,,,No,Members,Members,Members,,,,awaiting payments,,,,,,,,No,,Pending Review,,,"2022/05/27, change owner & manager nr's"
Bergendal Abattoir,08/037,Mpumalanga,Active,,,No,,,013 590 0643,068 670 8522,,4930305000,334.7,"Postnet Suite #19, Private Bag x9910",White River,"1,240",Mbombela,Portion 27 of the Farm Heidelberg Brondal District,"30°55'59""E ","25°20'04""S",Barend Jacobus Pienaar,ben@bgdt.co.za,082 465 1704,Mariaan Gerber,mariaan@bgdt.co.za,082 457 8021,Mariaan Gerber,,,Jo-Ane du Toit,accounts@bgdt.co.za,079 330 9104,manie@bgdt.co.za; abattoir@bgdt.co.za; eft@bgdt.co.za,,,,,,,,,,,,,,HT,A,50,,x,,x,x,,,,,No,No,,,,,,,Members,Members,Members,Members,,,,Members,,,,,,,,No,,Pending Review,,2025.05.26,"Telephone number updated, and new owner's details updated"
Bethal,08/087,Mpumalanga,Inactive,,,No,,Foodbev,,,017 647 3454,4790137139,179.7,P O Box 1301,Bethal,"2,310",,,"29°28'28""E ","26°26'11""S",Mr. D F Cronje,ilsecronje@hotmail.com,082 783 3096,Frans F Cronje,,,,,,,,,,,,,,,,,,,,,,,LT,,,,x,,x,x,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Bethlehem Abattoir,04/049,Free State,Closed,,,,,,058 303 5226,,,,315.5,P O Box 3054,,,,,,,Springforest Trading BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
BJP Abattoir,,North West,Active,,,,,,,,,,238,,,,,Plot 130 Rietvlei,,,Katlego J Mosime,bjp.ghprojects@gmail.com,072 929 2305,,,,,,,,,,,,,,,,,,,,,,,,RT,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,2024.12.03,New abattoir updated
Blaauwkrantz Abattoir,06/008,Eastern Cape,Active,,,No,,,045 839 2626,071 057 6550,,,826.4,P O Box 200,Queenstown,"5,320",,,,,AN Smuts,nicosmuts@lantic.net,,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,,x,,,,,,,No ,,,,,,,Members,Members,,,,,,,,,,,,,,No,24-Feb-26,Pending Review,,,
Blinkwater,02/047,Limpopo,Active,,,?,,,076 890 1233,013 271 0025,,,203.5,P O Box 45 ,Stoffberg,"1,056",Mokgophong,"Take road from Middelburg to Stoffberg, drive through Stoffberg until abattoir is situated 3km after the town on the left",,,Johan Swart,johan@blinkwaterslaghuis.co.za,079 493 6021,Jack,slagpale@gmail.com,076 890 1233,Johannes Petrus Swart,,,,,,,Yes,,,,,,,,,,,,,HT,A,89,,x,,x,x,,,,,No,No ,,,,,,,Members,Members,,,,,Members,,,,,,,,,No,,Pending Review,,2018.06.27,2022/05/27 change manager details
